Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,AgeYears
aaron anselmino,ar ARG,DF,Boca Juniors,18,2005,9.7,0,3,0.0,1.8,0,0,455,527,86.34,26,17,18,19,18.0
aaron nicolas molinas,ar ARG,"MF,FW",Defensa y Just,23,2000,17.4,5,4,4.2,2.5,36,21,657,848,77.48,21,11,19,9,23.0
aaron quiros,ar ARG,DF,Banfield,22,2001,5.0,0,0,0.1,0.0,2,1,128,182,70.33,3,2,5,3,22.0
abiel osorio,ar ARG,FW,Defensa y Just,21,2002,10.7,4,0,3.6,0.8,30,11,171,220,77.73,8,6,6,0,21.0
adam bareiro,py PAR,FW,San Lorenzo,27,1996,2.5,0,0,0.6,0.3,3,1,30,43,69.77,1,0,0,0,27.0
adrian balboa,uy URU,FW,Unión,30,1994,23.4,5,2,6.6,1.8,66,19,257,403,63.77,22,16,20,9,30.0
adrian guillermo sanchez,ar ARG,MF,Atlé Tucumán,24,1999,24.9,0,0,0.5,1.2,14,1,933,1193,78.21,77,42,42,29,24.0
adrian martinez,ar ARG,FW,Racing Club,31,1992,15.9,7,3,9.2,2.1,48,19,145,233,62.23,11,7,6,4,31.0
adrian sporle,ar ARG,DF,Independiente,28,1995,12.1,0,0,0.3,0.8,6,4,449,637,70.49,26,18,12,14,28.0
agustin almendra,ar ARG,MF,Racing Club,23,2000,13.5,2,2,1.3,0.9,22,8,486,621,78.26,49,29,20,12,23.0
agustin baldi,ar ARG,DF,Belgrano,21,2002,5.8,0,0,0.1,0.1,3,0,214,280,76.43,7,4,4,4,21.0
agustin bolivar,ar ARG,MF,Gimnasia–LP,28,1996,2.3,0,0,0.0,0.0,2,0,66,82,80.49,10,4,6,3,28.0
agustin bouzat,ar ARG,"MF,DF",Vélez Sarsfield,29,1994,23.8,0,0,0.3,0.7,12,2,758,1069,70.91,73,41,38,45,29.0
agustin cardozo,ar ARG,MF,Tigre,26,1997,23.9,1,1,1.1,0.8,9,2,1171,1339,87.45,39,23,21,15,26.0
